"Interval,time,open,high,low,close,volume,rsi,macd,macd_avg,macd_diff,sma20,sma50,sma200,ema20,ema50,ema200,stochrsi,bb_upper,bb_lower,adx,VolAvg20,VolAvg50"
"5min,2023-04-27 08:35:00,406.6,406.68,406.01,406.49,161032,39.31,0.07,0.13,-0.06,406.95,406.72,406.11,406.9,406.65,406.45,0.0,0.0,1.0,31.88,44285.0,19256.26"
"15min,2023-04-27 08:30:00,407.05,407.57,406.01,406.37,470894,49.03,0.29,0.3,-0.01,406.62,405.87,408.71,406.55,406.34,408.12,0.0,0.0,0.0,19.92,52622.9,1000135.24"
"30min,2023-04-27 08:30:00,407.05,407.57,406.01,406.98,629348,58.24,0.18,-0.03,0.21,405.96,406.57,410.44,406.39,406.86,409.48,0.87,0.0,0.0,15.24,1426970.1,1927333.1"
"60min,2023-04-27 09:00:00,407.02,407.85,406.74,407.56,8877252,54.57,-0.38,-0.75,0.37,406.24,408.55,411.07,406.69,408.06,409.49,1.0,0.0,0.0,22.75,4448185.45,4948529.44"
"5min,2023-04-28 08:35:00,411.08,411.3,410.99,410.99,65965,50.06,0.01,0.0,0.01,410.98,410.9,410.49,410.99,411.06,410.37,0.48,0.0,0.0,36.86,71904.25,38482.02"
"15min,2023-04-28 08:30:00,411.18,411.55,410.57,411.32,318850,53.8,-0.05,-0.07,0.02,410.98,411.42,408.35,411.13,410.76,409.41,1.0,0.0,0.0,25.93,102726.2,1220190.76"
"30min,2023-04-28 08:30:00,411.18,411.6,410.57,411.33,537325,57.09,0.41,0.63,-0.21,411.61,409.11,410.07,410.99,409.88,409.86,0.33,0.0,0.0,19.66,1843794.5,2035176.06"
"60min,2023-04-28 09:00:00,411.34,412.77,411.31,412.54,7213226,67.39,1.06,1.0,0.05,410.3,408.35,411.15,410.39,409.55,409.73,0.49,0.0,0.0,18.13,5013261.05,5474897.82"
"5min,2023-05-05 08:30:00,407.9,407.94,406.88,407.31,617465,40.56,0.1,0.18,-0.07,407.82,407.38,406.1,407.75,407.37,406.8,0.0,0.0,1.0,40.27,62147.8,26756.4"
"15min,2023-05-05 08:30:00,407.9,408.34,406.88,408.24,917729,71.17,0.53,0.5,0.03,407.33,406.26,408.95,407.36,406.8,408.58,0.52,0.0,0.0,38.11,83868.75,1046645.74"
"30min,2023-05-05 08:30:00,407.9,408.76,406.88,407.95,1211507,63.92,0.44,0.19,0.25,406.52,406.47,411.09,406.96,407.26,409.81,0.84,0.0,0.0,25.37,1467913.95,2093634.18"
"60min,2023-05-05 09:00:00,407.97,410.34,407.97,410.12,9470370,65.51,-0.1,-0.73,0.63,406.42,408.75,410.87,407.29,408.6,410.16,1.0,1.0,0.0,12.52,5249306.5,5948340.36"
